Traffic Region ID; Track ID; Track Type; Colour; Licence Plate; Entry Time [s]; Exit Time [s]; Avg. Speed [kpx/h]; Avg. Total Acc. [pxs-2]; Total Stationary [s]; Longest Stationary [s]; 
1; 7; Car; Black; Undefined; 4.1041; 7.10711; 980.172421; 109.4351; 0.000; 0.000; 
1; 8; Pedestrian; Undefined; Undefined; 4.9049; 12.1121; 175.885518; 17.2610; 0.000; 0.000; 
1; 16; Pedestrian; Undefined; Undefined; 12.5125; 25.7257; 205.354938; 22.9745; 0.000; 0.000; 
1; 18; Car; Red; Undefined; 25.7257; 29.029; 914.403909; 109.8641; 0.000; 0.000; 
1; 20; Car; Red; Undefined; 27.5275; 29.8298; 1296.902980; 276.9646; 0.000; 0.000; 
1; 23; Motorcycle; Undefined; Undefined; 30.9309; 34.6346; 805.243712; 55.8547; 0.000; 0.000; 
1; 27; Motorcycle; Undefined; Undefined; 38.2382; 38.8388; 1409.737402; 116.6980; 0.000; 0.000; 
1; 28; Motorcycle; Undefined; Undefined; 38.7387; 41.9419; 973.785419; 105.4313; 0.000; 0.000; 
1; 29; Car; Black; Undefined; 39.5395; 41.6416; 1390.277288; 334.2368; 0.000; 0.000; 
1; 31; Car; Black; Undefined; 41.1411; 43.2432; 1431.748492; 343.1990; 0.000; 0.000; 
1; 26; Bicycle; Undefined; Undefined; 41.3413; 47.4474; 475.694303; 41.1408; 0.000; 0.000; 
1; 33; Car; Silver; Undefined; 48.5485; 53.1532; 632.421441; 67.9166; 0.000; 0.000; 
1; 34; Car; Silver; Undefined; 51.2513; 55.7558; 662.548944; 129.5666; 0.000; 0.000; 
1; 37; Car; Silver; Undefined; 53.8539; 58.5586; 638.575182; 74.7273; 0.000; 0.000; 
1; 39; Car; White; Undefined; 57.7578; 60.4605; 1100.316503; 215.6901; 0.000; 0.000; 
1; 36; Bicycle; Undefined; Undefined; 58.959; 63.964; 531.617042; 48.5110; 0.000; 0.000; 
1; 40; Car; Black; Undefined; 59.1592; 62.3624; 925.753595; 112.8535; 0.000; 0.000; 
1; 38; Motorcycle; Undefined; Undefined; 59.4595; 64.6647; 556.310745; 97.9408; 0.000; 0.000; 
1; 41; Car; Silver; Undefined; 60.5606; 64.0641; 850.292269; 134.3375; 0.000; 0.000; 
1; 42; Motorcycle; Undefined; Undefined; 62.6627; 67.7678; 553.415759; 61.5631; 0.000; 0.000; 
1; 46; Car; Black; Undefined; 69.4695; 72.0721; 1163.374339; 239.9296; 0.000; 0.000; 
1; 53; Car; Silver; Undefined; 83.2833; 84.985; 1897.863541; 572.2901; 0.000; 0.000; 
1; 52; Bus; Yellow; Undefined; 83.4835; 84.2843; 1847.609426; 723.3759; 0.000; 0.000; 
1; 54; Bus; Yellow; Undefined; 84.4845; 86.5866; 612.962744; 169.7205; 0.000; 0.000; 
1; 48; Car; Black; Undefined; 86.4865; 91.8919; 538.205056; 51.7882; 0.000; 0.000; 
1; 61; Pedestrian; Undefined; Undefined; 94.4945; 103.504; 231.620386; 21.8622; 0.000; 0.000; 
1; 64; Pedestrian; Undefined; Undefined; 99.1992; 109.209; 81.992109; 6.6160; 0.000; 0.000; 
1; 63; Motorcycle; Undefined; Undefined; 100.2; 109.409; 329.994049; 52.8336; 0.000; 0.000; 
1; 66; Car; Silver; Undefined; 102.903; 106.306; 894.179860; 102.5452; 0.000; 0.000; 
1; 70; Motorcycle; Undefined; Undefined; 112.412; 115.215; 1095.226029; 126.9239; 0.000; 0.000; 
1; 72; Car; Black; Undefined; 115.015; 117.518; 1238.426573; 255.2832; 0.000; 0.000; 
1; 73; Car; Silver; Undefined; 116.617; 119.62; 997.778941; 128.3030; 0.000; 0.000; 
1; 74; Car; Silver; Undefined; 122.122; 125.125; 951.681258; 214.7612; 0.000; 0.000; 
1; 75; Car; Black; Undefined; 123.524; 125.826; 1251.373356; 259.4991; 0.000; 0.000; 
1; 77; Motorcycle; Undefined; Undefined; 124.825; 128.929; 368.997249; 49.3908; 0.000; 0.000; 
1; 78; Car; Black; Undefined; 125.926; 127.427; 1977.892481; 591.9160; 0.000; 0.000; 
1; 76; Bus; Green; Undefined; 128.028; 131.732; 771.545082; 157.8128; 0.000; 0.000; 
1; 81; Car; Silver; Undefined; 130.33; 132.733; 1154.185310; 97.0749; 0.000; 0.000; 
1; 80; Motorcycle; Undefined; Undefined; 130.33; 135.335; 447.539508; 46.2989; 0.000; 0.000; 
