Traffic Region ID; Track ID; Track Type; Colour; Licence Plate; Entry Time [s]; Exit Time [s]; Avg. Speed [kpx/h]; Avg. Total Acc. [pxs-2]; Total Stationary [s]; Longest Stationary [s]; 
1; 1; Motorcycle; Undefined; Undefined; 0; 62.6627; 48.704145; 20.8984; 32.232; 26.326; 
1; 2; Light Truck; Red; Undefined; 0; 2.3023; 645.026662; 176.8875; 0.000; 0.000; 
1; 3; Car; Black; Undefined; 1.7017; 4.4044; 1037.851535; 238.5046; 0.000; 0.000; 
1; 5; Car; Silver; Undefined; 3.6036; 6.00601; 1242.751595; 305.4323; 0.000; 0.000; 
1; 6; Motorcycle; Undefined; Undefined; 8.10811; 11.4114; 944.819669; 156.4203; 0.000; 0.000; 
1; 8; Car; Silver; Undefined; 13.9139; 19.2192; 555.055573; 42.2293; 0.000; 0.000; 
1; 10; Car; Silver; Undefined; 16.9169; 22.022; 595.151607; 50.9989; 0.000; 0.000; 
1; 12; Car; Silver; Undefined; 22.9229; 27.5275; 643.203153; 48.4978; 0.000; 0.000; 
1; 13; Motorcycle; Undefined; Undefined; 24.3243; 30.2302; 518.354656; 48.4655; 0.000; 0.000; 
1; 15; Motorcycle; Undefined; Undefined; 26.3263; 30.7307; 689.772539; 56.2861; 0.000; 0.000; 
1; 16; Motorcycle; Undefined; Undefined; 27.3273; 32.2322; 616.203936; 51.3552; 0.000; 0.000; 
1; 17; Motorcycle; Undefined; Undefined; 27.9279; 32.7327; 682.890299; 109.5992; 0.000; 0.000; 
1; 20; Motorcycle; Undefined; Undefined; 28.7287; 34.4344; 530.154219; 37.5990; 0.000; 0.000; 
1; 18; Motorcycle; Undefined; Undefined; 29.5295; 34.034; 656.502076; 69.6115; 0.000; 0.000; 
1; 23; Motorcycle; Undefined; Undefined; 31.2312; 37.5375; 483.777559; 37.7172; 0.000; 0.000; 
1; 14; Car; White; Undefined; 33.6336; 37.5375; 718.788757; 98.5077; 0.000; 0.000; 
1; 25; Motorcycle; Undefined; Undefined; 33.6336; 34.1341; 644.153109; 293.9406; 0.000; 0.000; 
1; 21; Motorcycle; Undefined; Undefined; 34.6346; 37.8378; 917.177681; 112.7769; 0.000; 0.000; 
1; 19; Motorcycle; Undefined; Undefined; 34.7347; 38.7387; 745.143256; 73.6738; 0.000; 0.000; 
1; 22; Motorcycle; Undefined; Undefined; 35.5355; 39.5395; 778.965972; 112.2289; 0.000; 0.000; 
1; 26; Motorcycle; Undefined; Undefined; 36.7367; 40.2402; 880.665622; 106.7255; 0.000; 0.000; 
1; 27; Car; Red; Undefined; 38.6386; 41.2412; 954.779717; 168.5105; 0.000; 0.000; 
1; 28; Motorcycle; Undefined; Undefined; 40.3403; 44.5445; 292.304245; 27.3332; 0.000; 0.000; 
1; 30; Van; Black; Undefined; 40.4404; 45.1451; 645.600066; 67.8459; 0.000; 0.000; 
1; 31; Motorcycle; Undefined; Undefined; 43.043; 48.8488; 519.397091; 35.3718; 0.000; 0.000; 
1; 32; Car; Undefined; Undefined; 44.1441; 49.6496; 209.050817; 17.7754; 0.000; 0.000; 
1; 33; Car; Red; Undefined; 46.9469; 51.8519; 605.937867; 52.7362; 0.000; 0.000; 
1; 29; Van; White; Undefined; 47.1471; 49.6496; 1189.923352; 183.1787; 0.000; 0.000; 
1; 35; Motorcycle; Undefined; Undefined; 49.2492; 52.953; 772.271281; 99.7441; 0.000; 0.000; 
1; 38; Motorcycle; Undefined; Undefined; 51.2513; 55.3554; 319.440890; 22.7778; 0.000; 0.000; 
1; 39; Car; Silver; Undefined; 54.6547; 57.3574; 1103.181219; 229.5375; 0.000; 0.000; 
1; 42; Motorcycle; Undefined; Undefined; 54.955; 58.4585; 848.896060; 68.5490; 0.000; 0.000; 
1; 44; Motorcycle; Undefined; Undefined; 59.7598; 62.7628; 1032.856124; 136.3532; 0.000; 0.000; 
1; 46; Car; Silver; Undefined; 60.6607; 65.0651; 676.364597; 73.0483; 0.000; 0.000; 
1; 40; Motorcycle; Undefined; Undefined; 62.0621; 72.1722; 290.257430; 39.8236; 0.000; 0.000; 
1; 1; Motorcycle; Undefined; Undefined; 63.7638; 64.2643; 910.744110; 761.8156; 0.000; 0.000; 
1; 52; Motorcycle; Undefined; Undefined; 66.2663; 69.0691; 1080.634945; 110.4388; 0.000; 0.000; 
1; 45; Pedestrian; Undefined; Undefined; 67.4675; 82.983; 194.305460; 20.6408; 0.000; 0.000; 
1; 54; Motorcycle; Undefined; Undefined; 69.0691; 71.5716; 495.941303; 82.9826; 0.000; 0.000; 
1; 55; Motorcycle; Undefined; Undefined; 70.1702; 72.3724; 475.922906; 91.6453; 0.000; 0.000; 
1; 58; Motorcycle; Undefined; Undefined; 73.7738; 76.5766; 1072.897051; 120.1554; 0.000; 0.000; 
1; 60; Bicycle; Undefined; Undefined; 74.5746; 80.981; 479.884636; 32.1162; 0.000; 0.000; 
1; 61; Car; Black; Undefined; 76.0761; 79.3794; 873.076761; 50.5817; 0.000; 0.000; 
1; 62; Motorcycle; Undefined; Undefined; 77.1772; 81.0811; 777.977804; 63.6200; 0.000; 0.000; 
1; 64; Motorcycle; Undefined; Undefined; 79.5796; 82.983; 803.802804; 100.5614; 0.000; 0.000; 
1; 67; Pedestrian; Undefined; Undefined; 81.3814; 102.903; 102.675936; 7.1098; 0.000; 0.000; 
