Traffic Region ID; Track ID; Track Type; Colour; Licence Plate; Entry Time [s]; Exit Time [s]; Avg. Speed [kpx/h]; Avg. Total Acc. [pxs-2]; Total Stationary [s]; Longest Stationary [s]; 
1; 3; Car; Undefined; Undefined; 0; 491.291; 2.114438; 0.2725; 474.975; 190.791; 
1; 2; Motorcycle; Undefined; Undefined; 0; 4.6046; 616.473414; 72.6336; 0.000; 0.000; 
1; 5; Motorcycle; Undefined; Undefined; 4.9049; 6.00601; 792.936433; 270.1087; 0.000; 0.000; 
1; 7; Motorcycle; Undefined; Undefined; 9.00901; 11.5115; 480.730209; 78.2164; 0.000; 0.000; 
1; 8; Car; Silver; Undefined; 10.9109; 12.5125; 2019.541621; 658.7429; 0.000; 0.000; 
1; 12; Bicycle; Undefined; Undefined; 20.02; 32.6326; 299.448997; 31.0982; 0.000; 0.000; 
1; 11; Bicycle; Undefined; Undefined; 24.5245; 31.5315; 426.540094; 34.1443; 0.000; 0.000; 
1; 9; Pedestrian; Undefined; Undefined; 25.1251; 47.047; 126.338365; 20.4818; 0.000; 0.000; 
1; 14; Car; Black; Undefined; 26.4264; 28.2282; 1563.616281; 397.9045; 0.000; 0.000; 
1; 16; Motorcycle; Undefined; Undefined; 33.2332; 37.7377; 596.770607; 56.1188; 0.000; 0.000; 
1; 17; Car; Black; Undefined; 37.6376; 41.5415; 766.890593; 60.2410; 0.000; 0.000; 
1; 18; Motorcycle; Undefined; Undefined; 37.6376; 38.9389; 1458.578930; 114.2200; 0.000; 0.000; 
1; 20; Motorcycle; Undefined; Undefined; 48.2482; 51.7518; 839.528294; 75.8821; 0.000; 0.000; 
1; 21; Car; Black; Undefined; 57.8579; 59.6597; 1659.813018; 389.9960; 0.000; 0.000; 
1; 23; Car; Red; Undefined; 61.7618; 64.1642; 1231.206571; 234.6144; 0.000; 0.000; 
1; 24; Motorcycle; Undefined; Undefined; 63.3634; 66.2663; 983.954744; 163.5193; 0.000; 0.000; 
1; 28; Car; Red; Undefined; 66.967; 69.5696; 1177.083081; 288.9354; 0.000; 0.000; 
1; 27; Motorcycle; Undefined; Undefined; 69.4695; 73.2733; 784.641232; 109.6744; 0.000; 0.000; 
1; 31; Motorcycle; Undefined; Undefined; 76.7768; 79.0791; 1245.635380; 146.3054; 0.000; 0.000; 
1; 33; Motorcycle; Undefined; Undefined; 81.982; 84.3844; 1280.617072; 224.5383; 0.000; 0.000; 
1; 30; Car; White; Undefined; 85.4855; 89.99; 640.803667; 76.3844; 0.000; 0.000; 
1; 35; Light Truck; Black; Undefined; 94.5946; 98.1982; 829.126664; 159.6333; 0.000; 0.000; 
1; 37; Car; White; Undefined; 114.414; 118.619; 679.234014; 93.0714; 0.000; 0.000; 
1; 39; Bicycle; Undefined; Undefined; 118.619; 124.625; 525.737076; 52.0967; 0.000; 0.000; 
1; 42; Car; Silver; Undefined; 132.933; 136.336; 910.876692; 93.6546; 0.000; 0.000; 
1; 43; Motorcycle; Undefined; Undefined; 135.235; 137.738; 578.512062; 156.2553; 0.000; 0.000; 
1; 44; Motorcycle; Undefined; Undefined; 135.936; 137.137; 1771.430735; 297.5690; 0.000; 0.000; 
1; 46; Car; White; Undefined; 142.442; 145.846; 871.799035; 90.8149; 0.000; 0.000; 
1; 52; Bicycle; Undefined; Undefined; 153.654; 158.458; 662.097484; 65.9700; 0.000; 0.000; 
1; 53; Car; Silver; Undefined; 155.756; 157.658; 1396.419916; 231.2613; 0.000; 0.000; 
1; 54; Motorcycle; Undefined; Undefined; 158.358; 161.762; 644.004804; 115.7128; 0.000; 0.000; 
1; 55; Car; Black; Undefined; 159.459; 162.563; 997.024270; 121.3595; 0.000; 0.000; 
1; 57; Car; Black; Undefined; 161.061; 164.164; 956.572913; 142.3585; 0.000; 0.000; 
1; 58; Motorcycle; Undefined; Undefined; 162.362; 165.365; 1062.601304; 148.5273; 0.000; 0.000; 
1; 60; Motorcycle; Undefined; Undefined; 163.864; 167.167; 967.678840; 107.3487; 0.000; 0.000; 
1; 61; Car; Silver; Undefined; 164.865; 167.367; 1180.759274; 230.2284; 0.000; 0.000; 
1; 62; Motorcycle; Undefined; Undefined; 167.968; 170.871; 1015.188359; 82.5838; 0.000; 0.000; 
1; 45; Car; Silver; Undefined; 168.168; 172.472; 670.847069; 105.0506; 0.000; 0.000; 
1; 51; Car; Black; Undefined; 177.578; 181.682; 693.957831; 97.7836; 0.000; 0.000; 
